POST_CODE,CITY_CODE,CITY_NAME,PROV_CODE,ZONE_CODE,COMP_NAME,SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY
T4V1J6,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V1J7,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V1J8,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V1J9,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V1K1,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V1K2,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V1K3,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V1K4,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V1K5,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V1K6,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V1K8,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V1K9,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V1L1,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V1L2,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V1L3,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V1L4,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V1L5,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V1L6,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V1L7,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V1L9,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V1M1,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
